Day,Market Participant,Equity Option Contracts,Equity Option Trade Count,Equity Option Notional,Index/Other Option Contracts,Index/Other Option Trade Count,Index/Other Option Notional,Total Option Contracts,Total Trade Count,Total Option Notional
2023-06-29,Cboe EDGX Options Exchange (E),1957912,292565,293976914.000000,0,0,0.000000,1957912,292565,293976914.000000
2023-06-29,Nasdaq GEMX (H),1034314,139390,163502931.000000,641,179,6383908.000000,1034955,139569,169886839.000000
2023-06-29,Nasdaq ISE (I),1879641,234998,527022201.000000,14115,6217,94053858.000000,1893756,241215,621076059.000000
2023-06-29,Nasdaq MRX (J),650248,93486,104964123.000000,0,0,0.000000,650248,93486,104964123.000000
2023-06-29,MIAX Options Exchange (M),2132978,330512,401281307.000000,0,0,0.000000,2132978,330512,401281307.000000
2023-06-29,NYSE Arca Options (N),4176325,562871,946194038.000000,2,1,1700.000000,4176327,562872,946195738.000000
2023-06-29,MIAX Pearl (P),2335845,256999,377694575.000000,0,0,0.000000,2335845,256999,377694575.000000
2023-06-29,NASDAQ Options Market (Q),2135419,313796,435266001.000000,0,0,0.000000,2135419,313796,435266001.000000
2023-06-29,Nasdaq BX Options (T),1036027,161894,162416238.000000,0,0,0.000000,1036027,161894,162416238.000000
2023-06-29,Cboe C2 Options Exchange (W),1500429,182115,207933443.000000,10341,3400,12699376.000000,1510770,185515,220632819.000000
2023-06-29,Nasdaq PHLX (X),3780672,242572,1756879177.000000,15526,6615,104350334.000000,3796198,249187,1861229511.000000
2023-06-29,Cboe BZX Options Exchange (Z),1893860,259519,383452890.000000,945,267,1975225.000000,1894805,259786,385428115.000000
2023-06-28,NYSE American Options (A),2051916,215323,399121916.000000,0,0,0.000000,2051916,215323,399121916.000000
2023-06-28,BOX Options (B),2471487,266241,1192569631.000000,0,0,0.000000,2471487,266241,1192569631.000000
2023-06-28,Cboe Options Exchange (C),3816330,536131,1335524698.000000,3305686,573205,6452807720.000000,7122016,1109336,7788332418.000000
2023-06-28,MIAX Emerald (D),1063584,179495,243054875.000000,0,0,0.000000,1063584,179495,243054875.000000
2023-06-28,Cboe EDGX Options Exchange (E),2085749,307875,349088539.000000,0,0,0.000000,2085749,307875,349088539.000000
2023-06-28,Nasdaq GEMX (H),1067195,147482,195181829.000000,782,290,9916817.000000,1067977,147772,205098646.000000
2023-06-28,Nasdaq ISE (I),1808775,243441,624022609.500000,19377,7892,186888125.000000,1828152,251333,810910734.500000
2023-06-28,Nasdaq MRX (J),695796,104967,139438957.000000,0,0,0.000000,695796,104967,139438957.000000
2023-06-28,MIAX Options Exchange (M),2259831,355165,474359130.000000,0,0,0.000000,2259831,355165,474359130.000000
2023-06-28,NYSE Arca Options (N),4529981,602442,1364675883.000000,0,0,0.000000,4529981,602442,1364675883.000000
2023-06-28,MIAX Pearl (P),2492929,270629,438142388.000000,0,0,0.000000,2492929,270629,438142388.000000
2023-06-28,NASDAQ Options Market (Q),2266933,343720,764554526.000000,0,0,0.000000,2266933,343720,764554526.000000
2023-06-28,Nasdaq BX Options (T),1099632,181260,215363519.000000,0,0,0.000000,1099632,181260,215363519.000000
2023-06-28,Cboe C2 Options Exchange (W),1546691,181920,321517689.000000,9576,2677,11341512.000000,1556267,184597,332859201.000000
2023-06-28,Nasdaq PHLX (X),4227094,258142,2358434124.000000,24180,8528,137795332.000000,4251274,266670,2496229456.000000
2023-06-28,Cboe BZX Options Exchange (Z),2060478,282910,483687949.000000,482,108,1285075.000000,2060960,283018,484973024.000000
