Expiration Date,Calls,Calls Last Sale,Calls Net,Calls Bid,Calls Ask,Calls Volume,Calls IV,Calls Delta,Calls Gamma,Calls Open Interest,Strike,Puts,Puts Last Sale,Puts Net,Puts Bid,Puts Ask,Puts Volume,Puts IV,Puts Delta,Puts Gamma,Puts Open Interest
Fri Jun 23 2023,AMC230623C00006000,0.15,-0.015,0.14,0.15,2749,1.0983,0.217,0.2045,3506,6.00,AMC230623P00006000,1.77,0.075,1.53,1.7,65,1.008,-0.7531,0.1977,629
Fri Jun 23 2023,AMC230623C00006500,0.12,-0.02,0.1,0.11,16,1.1506,0.1692,0.1641,372,6.50,AMC230623P00006500,1.87,-0.255,1.95,2.33,17,1.275,-0.7991,0.1596,113
Fri Jun 23 2023,AMC230623C00007000,0.09,-0.015,0.09,0.1,106,1.2625,0.1358,0.1338,588,7.00,AMC230623P00007000,2.37,0,2.41,2.81,0,1.3207,-0.8314,0.1307,63
Fri Jun 23 2023,AMC230623C00007500,0.08,-0.015,0.06,0.12,3,1.3734,0.1117,0.1108,104,7.50,AMC230623P00007500,2.72,0,2.92,3.3,0,1.4602,-0.8549,0.1086,39
Fri Jun 23 2023,AMC230623C00008000,0.08,0.005,0.05,0.07,20,1.3563,0.0936,0.0932,649,8.00,AMC230623P00008000,3.45,-0.125,3.3,3.85,22,1.4482,-0.8726,0.0916,25
Fri Jun 23 2023,AMC230623C00008500,0.06,-0.005,0.05,0.11,68,1.5542,0.0797,0.0795,149,8.50,AMC230623P00008500,3.77,0,3.85,4.35,0,1.6667,-0.8862,0.0782,2
Fri Jun 23 2023,AMC230623C00009000,0.07,0.005,0.02,0.1,1,1.5523,0.0688,0.0686,79,9.00,AMC230623P00009000,0,0,4.35,4.8,0,1.6688,-0.8969,0.0676,0
Fri Jun 23 2023,AMC230623C00009500,0.07,0,0.01,0.09,0,1.5816,0.06,0.0598,9,9.50,AMC230623P00009500,0,0,4.85,5.3,0,1.7685,-0.9055,0.059,0
Fri Jun 30 2023,AMC230630C00000500,0,0,3.9,4.4,0,5.6861,1,0,0,0.50,AMC230630P00000500,0.01,0.005,0,0.01,2,3.082,-0.003,0.0021,2
Fri Jun 30 2023,AMC230630C00001000,0,0,3.4,3.85,0,0,1,0,0,1.00,AMC230630P00001000,0.04,0,0,0.05,0,2.6936,-0.0085,0.0067,2
Fri Jun 30 2023,AMC230630C00001500,0,0,2.95,3.35,0,2.9275,1,0,0,1.50,AMC230630P00001500,0.1,0,0,0.1,0,2.2934,-0.0182,0.0158,15
Fri Jun 30 2023,AMC230630C00002000,0,0,2.6,2.84,0,2.7782,1,0,0,2.00,AMC230630P00002000,0.07,0,0,0.1,0,1.7343,-0.0352,0.0323,1
Fri Jun 30 2023,AMC230630C00002500,0,0,1.93,2.34,0,0,0.9996,0.0024,0,2.50,AMC230630P00002500,0.04,-0.045,0.01,0.12,1,1.3954,-0.0648,0.0609,126
Fri Jun 30 2023,AMC230630C00003000,2,0.325,1.43,1.84,5,0,0.9625,0.1733,8,3.00,AMC230630P00003000,0.13,0.03,0.1,0.13,94,1.2245,-0.1159,0.1061,717
Fri Jun 30 2023,AMC230630C00003500,1.2,-0.015,0.92,1.38,3,0.9898,0.8498,0.2412,20,3.50,AMC230630P00003500,0.21,-0.01,0.19,0.23,413,1.1125,-0.1987,0.1651,1454
Fri Jun 30 2023,AMC230630C00004000,0.94,0.09,0.67,0.96,6,1.0789,0.6994,0.2789,79,4.00,AMC230630P00004000,0.43,0.025,0.43,0.46,1423,1.1913,-0.3134,0.2167,14092
Fri Jun 30 2023,AMC230630C00004500,0.52,-0.075,0.51,0.65,15,1.1245,0.5464,0.2778,262,4.50,AMC230630P00004500,0.64,0.03,0.59,0.69,434,1.0496,-0.4373,0.235,2379
Fri Jun 30 2023,AMC230630C00005000,0.43,-0.005,0.41,0.46,565,1.1966,0.4218,0.25,4746,5.00,AMC230630P00005000,1.01,0.025,1,1.03,319,1.1363,-0.5436,0.2222,2243
Fri Jun 30 2023,AMC230630C00005500,0.32,-0.02,0.31,0.32,1177,1.22,0.3308,0.215,1975,5.50,AMC230630P00005500,1.34,-0.01,1.23,1.57,265,1.1536,-0.6244,0.1967,455
Fri Jun 30 2023,AMC230630C00006000,0.21,-0.06,0.2,0.24,2623,1.2191,0.2656,0.1826,10367,6.00,AMC230630P00006000,1.8,-0.05,1.68,1.9,37,1.0999,-0.6836,0.1701,498
Fri Jun 30 2023,AMC230630C00006500,0.23,-0.005,0.15,0.18,152,1.2497,0.2183,0.1555,611,6.50,AMC230630P00006500,2.28,-0.035,2.07,2.48,2,1.2227,-0.7273,0.1466,84
Fri Jun 30 2023,AMC230630C00007000,0.16,0,0.07,0.2,7,1.3056,0.1832,0.1334,498,7.00,AMC230630P00007000,2.42,0,2.5,2.96,0,1.2309,-0.7601,0.1269,1
Fri Jun 30 2023,AMC230630C00007500,0.15,0.01,0.06,0.17,1,1.3645,0.1564,0.1156,92,7.50,AMC230630P00007500,3.06,0,2.97,3.5,0,1.3725,-0.7854,0.1106,2
Fri Jun 30 2023,AMC230630C00008000,0.1,-0.035,0.05,0.15,4,1.4202,0.1355,0.1012,231,8.00,AMC230630P00008000,3.49,0,3.45,3.9,0,1.2527,-0.8052,0.0972,7
Fri Jun 30 2023,AMC230630C00008500,0.1,-0.03,0.08,0.11,2,1.4982,0.1189,0.0894,139,8.50,AMC230630P00008500,4.05,-0.15,3.9,4.45,1,1.3547,-0.8211,0.0862,0
Fri Jun 30 2023,AMC230630C00009000,0.09,-0.02,0.05,0.14,1,1.5867,0.1054,0.0796,82,9.00,AMC230630P00009000,4.45,0,4.35,5.1,0,1.6579,-0.8341,0.077,1
Fri Jun 30 2023,AMC230630C00009500,0.08,-0.02,0.03,0.14,22,1.6277,0.0943,0.0714,36,9.50,AMC230630P00009500,4.6,0,4.85,5.45,0,1.401,-0.8447,0.0692,5
