Expiration Date,Calls,Calls Last Sale,Calls Net,Calls Bid,Calls Ask,Calls Volume,Calls IV,Calls Delta,Calls Gamma,Calls Open Interest,Strike,Puts,Puts Last Sale,Puts Net,Puts Bid,Puts Ask,Puts Volume,Puts IV,Puts Delta,Puts Gamma,Puts Open Interest
Wed May 24 2023,NDXP230524C13860000,0,0,53.2,58.9,0,0.1352,0.4145,0.0018,0,13860.00,NDXP230524P13860000,0,0,113,124.2,0,0.1333,-0.5854,0.0018,0
Wed May 24 2023,NDXP230524C13870000,0,0,49.4,55,0,0.1348,0.3965,0.0018,0,13870.00,NDXP230524P13870000,0,0,118.9,130.4,0,0.1336,-0.6034,0.0018,0
Wed May 24 2023,NDXP230524C13875000,54.9,-25.7,49,53.1,46,0.1346,0.3875,0.0018,30,13875.00,NDXP230524P13875000,0,0,121.9,133.6,0,0.1333,-0.6123,0.0018,0
Wed May 24 2023,NDXP230524C13880000,63.5,-14.9,46.5,51.2,8,0.1344,0.3786,0.0018,11,13880.00,NDXP230524P13880000,0,0,125,136.8,0,0.1324,-0.6212,0.0018,0
Thu May 25 2023,NDXP230525C13725000,181.36,-6.19,144.5,156.6,1,0.1534,0.6384,0.0014,4,13725.00,NDXP230525P13725000,0,0,65.9,72.3,0,0.1533,-0.3619,0.0014,0
Thu May 25 2023,NDXP230525C13730000,191.77,0,141.2,153.2,0,0.153,0.6318,0.0014,3,13730.00,NDXP230525P13730000,0,0,68,74.1,0,0.1529,-0.3685,0.0014,0
Thu May 25 2023,NDXP230525C13740000,126.5,0,134.9,146.6,0,0.1523,0.6183,0.0014,2,13740.00,NDXP230525P13740000,94.22,0,71.5,77.5,0,0.152,-0.382,0.0014,1
Thu May 25 2023,NDXP230525C13750000,134.44,-36.31,128.6,140.1,17,0.1529,0.6045,0.0014,17,13750.00,NDXP230525P13750000,97.93,0,75.9,80.8,0,0.1508,-0.3958,0.0014,1
Thu May 25 2023,NDXP230525C13760000,133.65,0,122.5,133.7,0,0.1514,0.5905,0.0014,92,13760.00,NDXP230525P13760000,0,0,79.6,85.6,0,0.15,-0.4098,0.0014,0
Thu May 25 2023,NDXP230525C13770000,133,-24.55,116.6,127.6,12,0.15,0.5762,0.0015,13,13770.00,NDXP230525P13770000,0,0,83.5,89.6,0,0.1507,-0.424,0.0015,0
Thu May 25 2023,NDXP230525C13775000,134.15,0,113.7,124.5,0,0.1503,0.569,0.0015,99,13775.00,NDXP230525P13775000,0,0,85.6,91.7,0,0.1503,-0.4312,0.0015,0
Thu May 25 2023,NDXP230525C13780000,78.15,0,110.9,121.5,0,0.1502,0.5618,0.0015,4,13780.00,NDXP230525P13780000,94.05,0,87.6,93.8,0,0.1496,-0.4385,0.0015,1
Thu May 25 2023,NDXP230525C13790000,152.1,0,105.3,115.7,0,0.1492,0.5471,0.0015,3,13790.00,NDXP230525P13790000,0,0,89.9,98.1,0,0.1488,-0.4532,0.0015,0
Thu May 25 2023,NDXP230525C13800000,109,-30.2,99.9,110,19,0.1494,0.5323,0.0015,15,13800.00,NDXP230525P13800000,94.6,-10.15,94.2,102.5,13,0.1482,-0.468,0.0015,9
