
Standard & Poors 500 Index,Last: 3860.8101,Change:  -59.7499
"Date: 15 de marzo de 2023, 11:55 GMT-4",Bid: 3859.6299,Ask: 3861.51,Size: 1*1,Volume: 0
Expiration Date,Calls,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest,Strike,Puts,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest
Wed Mar 15 2023,SPXW230315C03860000,16.24,-30.81,15.6,15.8,5424,0.4554,0.5252,0.0101,200,3860.00,SPXW230315P03860000,14.7,5.2,15.4,15.6,7460,0.4565,-0.4748,0.0101,957
Wed Mar 15 2023,SPXW230315C03865000,14.1,-29.2,13.1,13.3,5860,0.4505,0.4743,0.0102,301,3865.00,SPXW230315P03865000,18.19,7.39,18,18.1,5565,0.453,-0.5257,0.0102,1132
Wed Mar 15 2023,SPXW230315C03870000,11.9,-27.9,10.8,11.1,6734,0.4482,0.4232,0.0101,287,3870.00,SPXW230315P03870000,20.99,8.84,20.7,21,4564,0.4508,-0.5768,0.0101,1063
Wed Mar 15 2023,SPXW230315C03875000,9.7,-26.65,9,9.2,7414,0.4457,0.373,0.0098,551,3875.00,SPXW230315P03875000,23.4,9.7,23.9,24.4,2227,0.4469,-0.627,0.0098,1161
Wed Mar 15 2023,SPXW230315C03880000,7.6,-25.35,7.4,7.6,7521,0.4448,0.3246,0.0094,485,3880.00,SPXW230315P03880000,28.9,13.5,27.2,27.5,1900,0.4477,-0.6754,0.0094,1205
Wed Mar 15 2023,SPXW230315C03885000,6.4,-23.45,6,6.2,3997,0.4462,0.2789,0.0088,341,3885.00,SPXW230315P03885000,29.5,12.3,30.9,31.4,1246,0.451,-0.7211,0.0088,896
Wed Mar 15 2023,SPXW230315C03890000,5,-21.85,4.8,5,8800,0.4453,0.2366,0.0081,1084,3890.00,SPXW230315P03890000,34.18,14.98,34.5,35.1,1351,0.4486,-0.7634,0.0081,1914
Wed Mar 15 2023,SPXW230315C03895000,4,-20,3.8,4,4012,0.4484,0.1984,0.0073,512,3895.00,SPXW230315P03895000,36.9,15.45,38.5,39.1,662,0.452,-0.8016,0.0073,1228
Wed Mar 15 2023,SPXW230315C03900000,3.3,-18,3,3.2,25055,0.4463,0.1645,0.0065,7709,3900.00,SPXW230315P03900000,41.4,17.7,42.6,43.3,2045,0.4527,-0.8355,0.0065,8923
Wed Mar 15 2023,SPXW230315C03905000,2.5,-16.3,2.35,2.45,7265,0.4484,0.1349,0.0057,518,3905.00,SPXW230315P03905000,43.61,17.46,46.9,47.6,190,0.4583,-0.8651,0.0057,798
Wed Mar 15 2023,SPXW230315C03910000,2.05,-14.45,1.8,1.9,10867,0.4488,0.1096,0.0049,594,3910.00,SPXW230315P03910000,53.6,24.75,51.4,52.1,252,0.4572,-0.8904,0.0049,790
